SimTime;SentPk;RcvdPk;LostPk;PacketLoss
1260;60;57;3;5
1261;60;57;3;5
1262;62;60;2;3.22581
1263;64;57;7;10.9375
1264;62;57;5;8.06452
1265;63;60;3;4.7619
1274;65;62;3;4.61538
1275;64;66;-2;-3.125
1276;65;62;3;4.61538
1277;65;62;3;4.61538
1278;65;61;4;6.15385
1279;65;60;5;7.69231
1286;5;12;-7;-140
1287;68;66;2;2.94118
1288;67;65;2;2.98507
1289;67;63;4;5.97015
1290;67;62;5;7.46269
1291;67;65;2;2.98507
1292;66;64;2;3.0303
1293;67;65;2;2.98507
1294;66;64;2;3.0303
1304;69;63;6;8.69565
1305;70;63;7;10
1306;66;68;-2;-3.0303
1307;68;61;7;10.2941
1308;66;57;9;13.6364
1309;67;62;5;7.46269
1310;63;61;2;3.1746
1311;64;58;6;9.375
1312;63;58;5;7.93651
1313;64;56;8;12.5
1314;63;55;8;12.6984
1315;62;55;7;11.2903
1316;61;61;0;0
1317;61;58;3;4.91803
1318;60;58;2;3.33333
1327;67;59;8;11.9403
1328;67;63;4;5.97015
1329;66;61;5;7.57576
1330;68;59;9;13.2353
1331;69;64;5;7.24638
1332;69;62;7;10.1449
1333;68;60;8;11.7647
1334;69;65;4;5.7971
1335;67;57;10;14.9254
1336;1;6;-5;-500
1337;66;59;7;10.6061
1338;65;60;5;7.69231
1339;65;61;4;6.15385
1340;64;59;5;7.8125
1341;63;61;2;3.1746
1342;63;61;2;3.1746
1343;63;60;3;4.7619
1344;61;57;4;6.55738
1345;62;57;5;8.06452
1346;60;57;3;5
1347;58;51;7;12.069
1348;58;52;6;10.3448
1349;1;3;-2;-200
1350;56;54;2;3.57143
1351;56;51;5;8.92857
1352;54;52;2;3.7037
1353;52;48;4;7.69231
1354;53;50;3;5.66038
1355;52;48;4;7.69231
1356;52;52;0;0
1357;51;49;2;3.92157
1358;51;49;2;3.92157
1359;52;48;4;7.69231
1360;52;48;4;7.69231
1361;52;44;8;15.3846
1362;52;43;9;17.3077
1363;51;44;7;13.7255
1364;51;46;5;9.80392
1365;50;53;-3;-6
1366;50;44;6;12
1367;51;46;5;9.80392
1368;50;46;4;8
1369;51;45;6;11.7647
1370;53;45;8;15.0943
1371;52;44;8;15.3846
1372;53;44;9;16.9811
1373;52;47;5;9.61538
1374;52;47;5;9.61538
1375;51;46;5;9.80392
1376;52;47;5;9.61538
1377;52;47;5;9.61538
1378;52;47;5;9.61538
1379;52;48;4;7.69231
1380;53;50;3;5.66038
1381;53;50;3;5.66038
1382;54;49;5;9.25926
1383;53;49;4;7.54717
1384;54;48;6;11.1111
1391;62;57;5;8.06452
1392;62;57;5;8.06452
1393;61;59;2;3.27869
1394;61;56;5;8.19672
1395;60;54;6;10
1396;63;57;6;9.52381
1397;63;57;6;9.52381
1398;63;58;5;7.93651
1399;61;54;7;11.4754
1400;62;56;6;9.67742
1401;62;55;7;11.2903
1402;60;55;5;8.33333
1403;61;57;4;6.55738
1404;60;56;4;6.66667
1405;62;59;3;4.83871
1406;63;57;6;9.52381
1407;63;60;3;4.7619
1408;61;53;8;13.1148
1410;58;57;1;1.72414
1416;60;56;4;6.66667
1417;61;57;4;6.55738
1418;61;56;5;8.19672
1419;63;61;2;3.1746
1420;64;58;6;9.375
1421;67;67;0;0
1422;67;65;2;2.98507
1423;66;60;6;9.09091
1424;67;60;7;10.4478
1434;73;68;5;6.84932
1435;73;66;7;9.58904
1436;73;73;0;0
1437;73;67;6;8.21918
1438;72;65;7;9.72222
1439;70;64;6;8.57143
1440;65;58;7;10.7692
1441;64;56;8;12.5
1442;62;60;2;3.22581
1451;62;57;5;8.06452
1452;64;59;5;7.8125
1453;62;62;0;0
1454;62;57;5;8.06452
1455;59;54;5;8.47458
1456;59;53;6;10.1695
1464;66;54;12;18.1818
1465;67;59;8;11.9403
1466;67;63;4;5.97015
1467;1;1;0;0
1468;69;60;9;13.0435
1469;70;62;8;11.4286
1470;70;68;2;2.85714
1471;70;59;11;15.7143
1478;75;74;1;1.33333
1479;76;67;9;11.8421
1480;76;73;3;3.94737
1481;77;70;7;9.09091
1482;75;71;4;5.33333
1483;74;75;-1;-1.35135
1484;74;68;6;8.10811
1485;73;68;5;6.84932
1486;71;67;4;5.6338
1487;70;66;4;5.71429
1488;68;65;3;4.41176
1489;67;64;3;4.47761
1491;67;69;-2;-2.98507
1492;66;63;3;4.54545
1493;66;61;5;7.57576
1494;68;63;5;7.35294
1495;66;62;4;6.06061
1496;67;63;4;5.97015
1497;66;59;7;10.6061
1498;64;57;7;10.9375
1499;61;53;8;13.1148
1500;62;54;8;12.9032
1501;60;54;6;10
1502;61;54;7;11.4754
1503;62;58;4;6.45161
1504;61;55;6;9.83607
1505;62;59;3;4.83871
